Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,PENDIDIKAN DOKTER HEWAN,S1,86,617,13.94
UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,S1,99,455,21.76
