Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOLOGI,S1,59,119,49.58
UNIVERSITAS DIPONEGORO,TEKNIK GEOLOGI,S1,42,465,9.03
UNIVERSITAS GADJAH MADA,TEKNIK GEOLOGI,S1,42,795,5.28
UNIVERSITAS HALUOLEO,TEKNIK GEOLOGI,S1,40,92,43.48
UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,S1,45,253,17.79
UNIVERSITAS JAMBI,TEKNIK GEOLOGI,S1,36,53,67.92
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK GEOLOGI,S1,34,674,5.04
UNIVERSITAS MULAWARMAN,TEKNIK GEOLOGI,S1,25,67,37.31
UNIVERSITAS NEGERI GORONTALO,TEKNIK GEOLOGI,S1,40,52,76.92
UNIVERSITAS PADJADJARAN,TEKNIK GEOLOGI,S1,49,1086,4.51
UNIVERSITAS PAPUA,TEKNIK GEOLOGI,S1,16,4,100.0
UNIVERSITAS PATTIMURA,TEKNIK GEOLOGI,S1,14,85,16.47
UNIVERSITAS SRIWIJAYA,TEKNIK GEOLOGI,S1,40,271,14.76
UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,S1,36,77,46.75
UNIVERSITAS TADULAKO,TEKNIK GEOLOGI,S1,45,94,47.87
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOLOGI,S1,78,671,11.62
