Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,ILMU EKONOMI,S1,100,29,100.0
UNIVERSITAS GADJAH MADA,ILMU EKONOMI,S1,32,652,4.91
UNIVERSITAS INDONESIA,ILMU EKONOMI,S1,36,921,3.91
UNIVERSITAS ISLAM NEGERI ALAUDDIN,ILMU EKONOMI,S1,53,136,38.97
UNIVERSITAS ISLAM NEGERI AR-RANIRY,ILMU EKONOMI,S1,28,9,100.0
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,ILMU EKONOMI,S1,43,306,14.05
UNIVERSITAS NEGERI MANADO,ILMU EKONOMI,S1,96,35,100.0
UNIVERSITAS NEGERI MEDAN,ILMU EKONOMI,S1,55,459,11.98
UNIVERSITAS PADJADJARAN,ILMU EKONOMI,S1,48,705,6.81
