Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,PARIWISATA,S1,60,1112,5.4
UNIVERSITAS GADJAH MADA,PARIWISATA,S1,16,927,1.73
UNIVERSITAS RIAU,PARIWISATA,S1,32,452,7.08
UNIVERSITAS UDAYANA,PARIWISATA,S1,48,636,7.55
"UPN ""VETERAN"" JAWA TIMUR",PARIWISATA,S1,40,480,8.33
