Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,BIMBINGAN KONSELING,S1,20,4,100.0
UNIVERSITAS ISLAM NEGERI AR-RANIRY,BIMBINGAN KONSELING,S1,28,10,100.0
UNIVERSITAS NEGERI MANADO,BIMBINGAN KONSELING,S1,32,29,100.0
UNIVERSITAS NUSA CENDANA,BIMBINGAN KONSELING,S1,45,109,41.28
UNIVERSITAS PATTIMURA,BIMBINGAN KONSELING,S1,36,26,100.0
UNIVERSITAS PENDIDIKAN GANESHA,BIMBINGAN KONSELING,S1,20,79,25.32
UNIVERSITAS RIAU,BIMBINGAN KONSELING,S1,16,408,3.92
UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,S1,45,415,10.84
