Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI SURABAYA,ADMINISTRASI NEGARA,D4,40,0,100.0
UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,S1,54,1094,4.94
UNIVERSITAS NEGERI SURABAYA,BIOLOGI,S1,31,352,8.81
UNIVERSITAS NEGERI SURABAYA,DESAIN GRAFIS,D4,13,0,100.0
UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,S1,27,573,4.71
UNIVERSITAS NEGERI SURABAYA,EKONOMI,S1,36,537,6.7
UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,S1,40,380,10.53
UNIVERSITAS NEGERI SURABAYA,FISIKA,S1,31,127,24.41
UNIVERSITAS NEGERI SURABAYA,GIZI,S1,36,753,4.78
UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,S1,45,1232,3.65
UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,S1,90,1086,8.29
