Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN KESEJAHTERAAN KELUARGA,S1,30,270,11.11
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN KIMIA,S1,29,148,19.59
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN LUAR BIASA,S1,47,109,43.12
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN LUAR SEKOLAH,S1,32,36,88.89
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN MATEMATIKA,S1,29,348,8.33
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,39,277,14.08
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN SEJARAH,S1,35,247,14.17
UNIVERSITAS NEGERI MAKASSAR,"PENDIDIKAN SENI DRAMA, TARI, DAN MUSIK",S1,47,176,26.7
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN SENI RUPA,S1,32,60,53.33
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN TEKNIK BANGUNAN,S1,15,157,9.55
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN TEKNIK ELEKTRO,S1,29,201,14.43
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN TEKNIK INFORMATIKA & KOMPUTER,S1,72,980,7.35
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN TEKNIK MESIN,S1,15,132,11.36
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN TEKNOLOGI PERTANIAN,S1,29,288,10.07
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN VOKASIONAL MEKATRONIKA,S1,15,25,60.0
UNIVERSITAS NEGERI MAKASSAR,PSIKOLOGI,S1,108,1488,7.26
UNIVERSITAS NEGERI MAKASSAR,SASTRA INDONESIA,S1,35,176,19.89
UNIVERSITAS NEGERI MAKASSAR,SASTRA INGGRIS,S1,53,560,9.46
UNIVERSITAS NEGERI MAKASSAR,SENI TARI,S1,16,33,48.48
UNIVERSITAS NEGERI MAKASSAR,SOSIOLOGI,S1,35,202,17.33
UNIVERSITAS NEGERI MAKASSAR,STATISTIKA,S1,29,235,12.34
UNIVERSITAS NEGERI MAKASSAR,TATA BOGA,D4,15,0,100.0
UNIVERSITAS NEGERI MAKASSAR,TEKNIK ELEKTRO,D4,30,0,100.0
UNIVERSITAS NEGERI MAKASSAR,TEKNIK ELEKTRONIKA,D4,16,0,100.0
UNIVERSITAS NEGERI MAKASSAR,TEKNIK KOMPUTER,S1,44,639,6.89
UNIVERSITAS NEGERI MAKASSAR,TEKNIK MESIN,D4,15,0,100.0
UNIVERSITAS NEGERI MAKASSAR,TEKNIK SIPIL BANGUNAN GEDUNG,D4,31,0,100.0
UNIVERSITAS NEGERI MAKASSAR,TEKNOLOGI PENDIDIKAN,S1,32,168,19.05
