Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ISLAM NEGERI ALAUDDIN,KESEJAHTERAAN SOSIAL,S1,36,74,48.65
UNIVERSITAS ISLAM NEGERI AR-RANIRY,KESEJAHTERAAN SOSIAL,S1,21,20,100.0
UNIVERSITAS ISLAM NEGERI JAKARTA,KESEJAHTERAAN SOSIAL,S1,36,583,6.17
