Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS GADJAH MADA,TEKNIK PERTANIAN,25,200,12.5
UNIVERSITAS JAMBI,TEKNIK PERTANIAN,25,115,21.74
UNIVERSITAS JEMBER,TEKNIK PERTANIAN,38,229,16.59
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK PERTANIAN,30,263,11.41
UNIVERSITAS LAMPUNG,TEKNIK PERTANIAN,20,150,13.33
UNIVERSITAS PADJADJARAN,TEKNIK PERTANIAN,30,323,9.29
UNIVERSITAS SAM RATULANGI,TEKNIK PERTANIAN,21,52,40.38
UNIVERSITAS SRIWIJAYA,TEKNIK PERTANIAN,20,169,11.83
UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,30,193,15.54
