Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TRUNOJOYO MADURA,HUKUM BISNIS SYARIAH,80,139,57.55
UNIVERSITAS TRUNOJOYO MADURA,SISTEM INFORMASI,100,193,51.81
UNIVERSITAS TRUNOJOYO MADURA,EKONOMI SYARIAH,120,359,33.43
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK ELEKTRO,60,225,26.67
UNIVERSITAS TRUNOJOYO MADURA,EKONOMI PEMBANGUNAN,112,266,42.11
UNIVERSITAS TRUNOJOYO MADURA,PSIKOLOGI,90,487,18.48
UNIVERSITAS TRUNOJOYO MADURA,AGROEKOTEKNOLOGI,100,225,44.44
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,68,341,19.94
UNIVERSITAS TRUNOJOYO MADURA,SOSIOLOGI,90,281,32.03
UNIVERSITAS TRUNOJOYO MADURA,TEKNOLOGI INDUSTRI PERTANIAN,68,192,35.42
UNIVERSITAS TRUNOJOYO MADURA,ILMU KELAUTAN,68,131,51.91
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK MEKATRONIKA,40,52,76.92
UNIVERSITAS TRUNOJOYO MADURA,AGRIBISNIS,100,259,38.61
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK MESIN,40,133,30.08
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN ILMU PENGETAHUAN ALAM,68,216,31.48
UNIVERSITAS TRUNOJOYO MADURA,ILMU HUKUM,200,414,48.31
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN GURU ANAK USIA DINI,68,155,43.87
UNIVERSITAS TRUNOJOYO MADURA,PGSD,68,643,10.58
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN INFORMATIKA,68,150,45.33
UNIVERSITAS TIMOR,PEND. BAHASA INGGRIS,50,38,100.0
UNIVERSITAS TIMOR,PEND. BAHASA INDONESIA,60,45,100.0
UNIVERSITAS TIMOR,AGRIBISNIS,60,120,50.0
UNIVERSITAS TIMOR,ADM. NEGARA,160,211,75.83
UNIVERSITAS TIMOR,PEND. MATEMATIKA,50,41,100.0
UNIVERSITAS TIMOR,BIOLOGI,50,42,100.0
UNIVERSITAS TIMOR,TEKNOLOGI INFORMASI,50,204,24.51
UNIVERSITAS TIMOR,ILMU PEMERINTAHAN,120,169,71.01
UNIVERSITAS TIMOR,PETERNAKAN,60,79,75.95
UNIVERSITAS TIMOR,MANAJEMEN,100,300,33.33
